finished,responseid,lead_swm,lead_swm_o,swm_satisfaction,wtp1,wtp2,wtp3,wtp4,wtp5,wtp6,wtp7,wtp8,wtp9,wtp10,wtp11,wtp12,wtp13,wtp14,wtp15,wtp16,wtp17,wtp18,wtp19,wtp20,wtp21,wtp22,wtp23,wtp24,wtp25,wtp26,wtp27,wtp28,wtp29,wtp30,wtp31,wtp32,wtp33,wtp34,wtp35,wtp36,publ_educ,nat_env,crime_prev,housing,unempl_pov,health_serv,foodsec,pp_other,pp_other_txt,pp_pnts,water_poll,air_poll,deforestation,soil_deg,env_swm,biodiv_loss,climate_ch,env_other,env_other_txt,env_pnts,impact_swm,effects_swm,effects_swm_o,frequency,frequency_o,engagement,w3,village,gender,d3,age,educ,employ,employ_o,religion,religion_o,d7,yrs_cape,d8,yrs_house,hh_position,hh_position_om,hh_position_of,ownership,ownership_o,d11,buildings,d12,people,income,household_id,z1,ns_bid1,s_bid1,ns_bid2,s_bid2,response_ns_bid1,response_s_bid1,response_ns_bid2,response_s_bid2
True,R_21csHRJ59bGdpZP,Female head of HH,,Somewhat satisfied,,,,,,,No,No,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,40,0,0,0,0,0,0,0,0,,40,No,,,Every day,,I would be willing to contribute my time,kupeza ndalama,Muonda,Female,Please state the age in completed years of life,42,Primary education,Unemployed,,Christianity,,All my life,,All my life,,Female head of HH,,,Owner,,Please enter amount as a number,6,Please enter amount as a number,6,"100,001 to 125,000",,,1000,1000,500,500,0,0,0,0
True,R_W0SwZeNVjSaEaLn,Female head of HH,,Neither satisfied nor dissatisfied,No,No,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,40,0,0,0,0,0,0,0,0,,40,No,,,Every day,,I would be willing to contribute my time,kupeza ndalama,Muonda,Female,Please state the age in completed years of life,47,Primary education,Unemployed,,Christianity,,All my life,,All my life,,Female head of HH,,,Owner,,Please enter amount as a number,3,Please enter amount as a number,4,"50,001 to 75,000",,,500,500,250,250,0,0,0,0
True,R_xDUA5dwBeCCvqyR,Female head of HH,,Extremely satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prefer not to say,,,Prefer not to say,,,2,2,4,1,7,6,18,0,,0,0,0,0,0,0,0,0,0,,40,Yes,"Water pollution,Spread of diseases,Decrease of tourism",,Bi-weekly / twice a week,,I do not want do engage in solid waste management,Protection from various diseases ,Muonda,Male,Please state the age in completed years of life,25,Secondary education ,Unemployed,,Christianity,,All my life,,Please enter amount as a number,30,Male head of HH,,,Owner,,Please enter amount as a number,3,Please enter amount as a number,5,"75,001 to 100,000",,They need water board so as to  provide people with clean water than to use the water from the lakes ,,,,,,,,
True,R_3s4F47cfdspjOhG,Female head of HH,,Extremely satisfied,,,,,,,,,,,,,Yes,,No,Yes,,No,,,,,,,,,,,,,,,,,,,8,8,8,0,0,10,6,0,,0,15,0,12,0,13,0,0,0,,0,Yes,"Water pollution,Air pollution,Health issues",,Every day,,Prefer not to say,Clean homes,Chembe,Female,Prefer not to say,,Prefer not to say,Unemployed,,Christianity,,Please enter amount as a number,30,Please enter amount as a number,25,Female head of HH,,,Owner,,Please enter amount as a number,2,Please enter amount as a number,7,Prefer not to say,23,,1500,1500,3000,3000,1,1,0,0
True,R_2EoAqqKHkaLqtnj,Daughter of head of HH,,Somewhat satisfied,,,,,,,,,,,,,,,,,,,Prefer not to say,,,Prefer not to say,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,40,0,0,0,0,0,0,0,0,,40,Yes,Water pollution,,Every day,,Prefer not to say,Clean water since there will be no erosion of wastes into water sources ,Chembe,Female,Please state the age in completed years of life,22,Secondary education ,Unemployed,,Christianity,,All my life,,All my life,,Daughter of head of HH,,,Owner,,Please enter amount as a number,2,Please enter amount as a number,7,Prefer not to say,,,,,,,,,,
True,R_2338BjVntaGWtQl,Male head of HH,,Somewhat satisfied,,,,,,,No,No,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,0,15,5,5,10,0,,0,5,0,20,0,11,4,0,0,,0,No,,,Bi-weekly / twice a week,,I would be willing to contribute my time,"Clean community,reduction in diseases",Nkhono,Male,Please state the age in completed years of life,29,Primary education,Self-employed,,Christianity,,Please enter amount as a number,16,Please enter amount as a number,8,Male head of HH,,,Owner,,Please enter amount as a number,1,Please enter amount as a number,6,"25,001 to 50,000",28,None,1000,1000,500,500,0,0,0,0
True,R_3CVmkQCCXzPdsea,Female head of HH,,Extremely satisfied,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,No,No,,,,,,,,5,4,7,4,8,2,10,0,,0,6,2,5,9,6,5,7,0,,0,No,,,Bi-weekly / twice a week,,I would be willing to contribute my time,"Disease prevention(eg; cholera,etc)",Nkhono,Female,Please state the age in completed years of life,29,Primary education,Unemployed,,Christianity,,All my life,,Please enter amount as a number,1,Female head of HH,,,Rental ,,Prefer not to say,,Prefer not to say,,"Less than 25,000",32,Proper waste management makes the environment clean,2500,2500,1250,1250,0,0,0,0
True,R_31WX7ygBF6KYTJP,Male head of HH,,Neither satisfied nor dissatisfied,,,,,,,No,No,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,10,0,0,10,10,0,,0,10,0,0,0,30,0,0,0,,0,Yes,Water pollution,,Every day,,Prefer not to say,Clean homes,Chembe,Male,Please state the age in completed years of life,23,Prefer not to say,Self-employed,,Christianity,,Please enter amount as a number,7,Please enter amount as a number,.75,Male head of HH,,,Rental ,,Please enter amount as a number,1,Please enter amount as a number,4,Prefer not to say,,The government should make stable places where all people can dump waste other Tham dumping in there respective places that brings no order of disposal. ,1000,1000,500,500,0,0,0,0
True,R_2CyvlvOYJwUlE0k,Female head of HH,,Extremely satisfied,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,No,No,,,,,,,,2,6,5,3,8,6,10,0,,0,7,4,8,5,5,3,8,0,,0,Yes,"Water pollution,Decrease of tourism,Other (please specify):",Harm children,Every day,,I would be willing to contribute my time,Safe environment,Nkhono,Female,Please state the age in completed years of life,30,Secondary education ,Unemployed,,Christianity,,All my life,,Please enter amount as a number,3,Female head of HH,,,Rental ,,Please enter amount as a number,2,Please enter amount as a number,3,"25,001 to 50,000",,,2500,2500,1250,1250,0,0,0,0
True,R_1Q0MOyhzricVMmz,Female head of HH,,Extremely satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,No,No,No,,8,2,0,5,5,7,13,0,,0,7,5,4,10,4,5,5,0,,0,Yes,Spread of diseases,,Bi-weekly / twice a week,,I would be willing to contribute my time,Disease prevention,Nkhono,Male,Please state the age in completed years of life,35,Primary education,Unemployed,,Christianity,,All my life,,Please enter amount as a number,9,Male head of HH,,,Owner,,Please enter amount as a number,4,Please enter amount as a number,6,"25,001 to 50,000",,None,3000,3000,6000,1500,1,0,0,0
True,R_3PT42TfxXL0yRMV,Female head of HH,,Extremely satisfied,No,No,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,40,0,0,0,0,0,0,0,0,,40,No,,,Every day,,I would be willing to contribute my time,kupeleka ndalama,Muonda,Female,Please state the age in completed years of life,70,Primary education,Unemployed,,Christianity,,All my life,,All my life,,Female head of HH,,,Owner,,Please enter amount as a number,4,Please enter amount as a number,7,"Less than 25,000",17,,500,500,250,250,0,0,0,0
True,R_2uJt4mhVlDjkU0O,Female head of HH,,Extremely dissatisfied,,,,,,,,,,,,,,,,,,,No,No,,No,No,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,40,0,0,0,0,0,0,0,0,,40,No,,,Every day,,I would be willing to contribute my time,kupewa matenda,Muonda,Female,Please state the age in completed years of life,22,Primary education,Unemployed,,Islam ,,Please enter amount as a number,19,Please enter amount as a number,19,Female head of HH,,,Owner,,Please enter amount as a number,5,Please enter amount as a number,5,"25,001 to 50,000",,,2000,2000,1000,1000,0,0,0,0
True,R_qOg9oYgZy2YSeel,Female head of HH,,,,,,,,,,,,,,,,,,,,,No,No,,No,No,,,,,,,,,,,,,,10,0,9,0,10,0,11,0,,0,12,6,0,8,5,0,9,0,,0,Yes,"Water pollution,Spread of diseases,Economic impact",,Other (please specify): ,Three times week ,I do not want do engage in solid waste management,Beautification ,Nkhono,Female,Please state the age in completed years of life,28,Primary education,Unemployed,,Christianity,,Please enter amount as a number,5,Please enter amount as a number,1,Male head of HH,,,Rental ,,Please enter amount as a number,1,Please enter amount as a number,5,"Less than 25,000",25,Thanks for the visit  because it's one part of hygienic lessons ,2000,2000,1000,1000,0,0,0,0
True,R_2P82kX2FDK0LTnJ,Male head of HH,,Extremely satisfied,,,,,,,,,,,,,Yes,,No,Yes,,No,,,,,,,,,,,,,,,,,,,10,0,0,3,12,0,15,0,,0,0,0,15,5,5,0,15,0,,0,Yes,Decrease of tourism,,Bi-weekly / twice a week,,I would be willing to contribute my time,Clean palce and good oxygen for citizens,Nkhono,Male,Please state the age in completed years of life,46,Secondary education ,Private sector,,Christianity,,Please enter amount as a number,7,Please enter amount as a number,2,Male head of HH,,,Rental ,,Please enter amount as a number,1,Please enter amount as a number,1,"25,001 to 50,000",,None,1500,1500,3000,3000,1,1,0,0
True,R_3F50R0C4bkbcDZA,Female head of HH,,Extremely dissatisfied,No,No,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,40,-,0,0,0,0,0,0,0,0,40,-,0,No,,,Every day,,I would be willing to contribute my time,kupewa matenda ,Muonda,Female,Please state the age in completed years of life,54,Primary education,Self-employed,,Christianity,,All my life,,All my life,,Female head of HH,,,Owner,,Please enter amount as a number,6,Please enter amount as a number,11,"75,001 to 100,000",,,500,500,250,250,0,0,0,0
True,R_12SxAKtqd6kGHG8,Female head of HH,,Neither satisfied nor dissatisfied,,,,,,,Yes,,No,Yes,,No,,,,,,,,,,,,,,,,,,,,,,,,,10,10,0,0,0,10,10,0,,0,10,5,0,0,20,5,0,0,,0,Yes,"Water pollution,Air pollution,Spread of diseases,Health issues,Decrease of tourism,Other (please specify):",Dedication in on open places that produce bad smell,Every day,,Prefer not to say,Clean homes and water,Madothi,Female,Prefer not to say,,Prefer not to say,Government employee,,Christianity,,Please enter amount as a number,5,Prefer not to say,,Female head of HH,,,Owner,,Please enter amount as a number,1,Please enter amount as a number,11,Prefer not to say,20,,1000,1000,2000,2000,1,1,0,0
True,R_3nlvwIBwWRJ3CeM,Female head of HH,,Extremely satisfied,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,No,No,,,,,,,,6,1,7,0,9,2,15,0,,0,9,5,0,12,4,0,10,0,,0,Yes,"Water pollution,Spread of diseases,Decrease of tourism",,Bi-weekly / twice a week,,I do not want do engage in solid waste management,Changing of capemaclear ,Nkhono,Female,Please state the age in completed years of life,44,Primary education,Unemployed,,Christianity,,Please enter amount as a number,13,Please enter amount as a number,3,Female head of HH,,,Rental ,,Please enter amount as a number,1,Please enter amount as a number,8,Prefer not to say,,Thanks for visit ,2500,2500,1250,1250,0,0,0,0
True,R_VLsgNY0oYQNTWUN,Female head of HH,,Extremely satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,No,No,,0,0,0,0,0,0,0,40,-,0,0,0,0,0,0,0,0,40,-,0,No,,,Bi-weekly / twice a week,,I would be willing to contribute my time,kupewa matenda ,Muonda,Female,Please state the age in completed years of life,34,Primary education,Self-employed,,Christianity,,Please enter amount as a number,6,Please enter amount as a number,2,Female head of HH,,,Rental ,,Please enter amount as a number,2,Please enter amount as a number,7,"25,001 to 50,000",18,,3000,3000,1500,1500,0,0,0,0
True,R_1JEdkJfH4jc9TeK,Female head of HH,,Extremely satisfied,,,,,,,,,,,,,Yes,,No,Yes,,No,,,,,,,,,,,,,,,,,,,4,5,3,4,10,3,11,0,,0,4,3,4,7,6,7,9,0,,0,Yes,"Health issues,Decrease of tourism,Other (please specify):",Harm people,Once a week,,I would be willing to contribute my time,Increases tourist attraction,Nkhono,Female,Please state the age in completed years of life,59,Primary education,Unemployed,,Islam ,,All my life,,Please enter amount as a number,7,Female head of HH,,,Owner,,Please enter amount as a number,2,Please enter amount as a number,5,"50,001 to 75,000",,Waste management can make our community clean,1500,1500,3000,3000,1,1,0,0
True,R_1Nf4ZSpUNiW6SJi,Female head of HH,,Neither satisfied nor dissatisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,No,No,No,,10,0,0,0,0,20,10,0,,0,20,0,0,0,10,10,0,0,,0,Yes,"Water pollution,Spread of diseases,Health issues",,Every day,,Prefer not to say,Clean homes,Madothi,Female,Prefer not to say,,Secondary education ,Self-employed,,Christianity,,All my life,,All my life,,Female head of HH,,,Owner,,Please enter amount as a number,8,Please enter amount as a number,3,Prefer not to say,22,,3000,3000,6000,1500,1,0,0,0
True,R_2YaIipa5g5XbLSD,Female head of HH,,Extremely dissatisfied,,,,,,,,,,,,,,,,,,,No,No,,No,No,,,,,,,,,,,,,,0,0,0,0,0,0,40,0,-,0,0,0,0,0,0,0,40,0,-,0,Yes,"Water pollution,Air pollution,Spread of diseases,Health issues,Economic impact",,Bi-weekly / twice a week,,I would be willing to contribute my time,kukongoletsa malo,Muonda,Female,Please state the age in completed years of life,40,No education,Self-employed,,Christianity,,All my life,,All my life,,Female head of HH,,,Owner,,Please enter amount as a number,9,Please enter amount as a number,8,"25,001 to 50,000",,,2000,2000,1000,1000,0,0,0,0
True,R_aXKkRTnSXdOZ4gV,Female head of HH,,Extremely satisfied,,,,,,,,,,,,,No,No,,No,No,,,,,,,,,,,,,,,,,,,,10,0,0,3,5,7,15,0,,0,6,5,4,5,13,0,7,0,,0,Yes,"Spread of diseases,Health issues,Decrease of tourism",,Other (please specify): ,3 times a week,I would be willing to contribute my time,"Growth of tourism , prevention of diseases ,clean community",Nkhono,Female,Please state the age in completed years of life,75,No education,Unemployed,,Christianity,,All my life,,All my life,,Mother of head of HH,,,Owner,,Please enter amount as a number,2,Please enter amount as a number,6,"25,001 to 50,000",28,With this project a lot will change in the community in its cleanliness ,1500,1500,750,750,0,0,0,0
True,R_VI29efYXXCGoVtT,Daughter of head of HH,,Extremely satisfied,,,,,,,Yes,,Yes,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,40,9,0,0,11,10,2,8,0,,0,Yes,"Water pollution,Spread of diseases,Economic impact,Decrease of tourism",,Every day,,I would be willing to contribute my time,Prevention of disease to people ,Nkhono,Female,Please state the age in completed years of life,40,No education,Private sector,,Islam ,,Please enter amount as a number,20,Please enter amount as a number,2,Female head of HH,,,Rental ,,Please enter amount as a number,1,Please enter amount as a number,6,"25,001 to 50,000",,Thanks for visit ,1000,1000,2000,2000,1,1,1,1
True,R_3EL8p3Ufpcj0b92,Female head of HH,,Extremely dissatisfied,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,,No,No,,,,,,,,0,0,0,0,0,0,0,0,,40,0,0,0,0,0,0,0,40,-,0,Yes,"Air pollution,Health issues,Economic impact,Aesthetic and psychological impact",,Bi-weekly / twice a week,,I would be willing to contribute my time,kukongoletsa malo,Katukumala,Female,Please state the age in completed years of life,33,Primary education,Self-employed,,Christianity,,Please enter amount as a number,6,Please enter amount as a number,1,Female head of HH,,,Rental ,,Please enter amount as a number,5,Please enter amount as a number,8,"50,001 to 75,000",,,2500,2500,1250,1250,0,0,1,0
True,R_3ith8Mtw4iEzNXq,Female head of HH,,Extremely satisfied,,,,,,,,,,,,,,,,,,,No,No,,No,No,,,,,,,,,,,,,,0,0,0,0,0,0,40,0,,0,0,0,0,0,0,0,0,0,,40,No,,,Every day,,I would be willing to contribute my time,kukongoletsa malo,Katukumala,Female,Please state the age in completed years of life,47,Primary education,Self-employed,,Islam ,,All my life,,All my life,,Female head of HH,,,Owner,,Please enter amount as a number,6,Please enter amount as a number,6,"100,001 to 125,000",19,,2000,2000,1000,1000,0,0,0,0
True,R_1FParzEqt74G2qM,Female head of HH,,Extremely satisfied,Yes,,Yes,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,4,4,7,3,14,0,,0,5,4,6,15,4,4,2,0,,0,Yes,"Air pollution,Health issues,Loss of biodiversity ,Other (please specify):",Harm people,Every day,,I would be willing to contribute my time,Clean environment,Nkhono,Female,Please state the age in completed years of life,40,Primary education,Unemployed,,Christianity,,All my life,,Please enter amount as a number,13,Female head of HH,,,Owner,,Please enter amount as a number,3,Please enter amount as a number,4,"25,001 to 50,000",33,Waste management mkes,500,500,1000,1000,1,1,1,1
True,R_W8JqY1u3WmWXwFb,Mother of head of HH,,Extremely satisfied,,,,,,,Yes,,Yes,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,0,0,10,0,10,8,12,0,,0,9,7,0,7,9,0,8,0,,0,Yes,"Water pollution,Spread of diseases,Climate change ",,Other (please specify): ,Twice per day ,I would be willing to contribute my time,Help us to provide prevent infection because the wastes bring pathogens which may affect human beings ,Nkhono,Female,Please state the age in completed years of life,20,Secondary education ,Self-employed,,Christianity,,All my life,,Please enter amount as a number,11,Daughter of head of HH,,,Owner,,Please enter amount as a number,3,Please enter amount as a number,7,"100,001 to 125,000",26,Thanks for visit ,1000,1000,2000,2000,1,1,1,1
True,R_2S7Uv3dbkgCKJVA,Female head of HH,,Extremely satisfied,No,Yes,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,40,0,0,0,0,0,,0,0,0,0,0,0,0,40,0,,0,Yes,"Water pollution,Air pollution",,Every day,,I would be willing to pay a fee,Clean home and village. Disease prevention due to pollution ,Katukumala,Male,Please state the age in completed years of life,73,Primary education,Unemployed,,Christianity,,All my life,,Please enter amount as a number,13,Male head of HH,,,Owner,,Please enter amount as a number,5,Please enter amount as a number,2,"25,001 to 50,000",,,500,500,250,250,0,0,1,1
True,R_1rlupNampycbpSl,Female head of HH,,Somewhat satisfied,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,Yes,,Yes,,,,,,,8,3,0,13,0,8,8,0,,0,20,10,0,0,10,0,0,0,,0,Yes,"Water pollution,Air pollution",,Once a week,,I would be willing to contribute my time,Clean homes and village,Madothi,Female,Please state the age in completed years of life,25,Prefer not to say,Prefer not to say,,Christianity,,Please enter amount as a number,5,Please enter amount as a number,4,Female head of HH,,,Rental ,,Please enter amount as a number,1,Please enter amount as a number,3,Prefer not to say,,Importance of Nature. Deforestation makes rain coming late and lack of firewood. Trees are source of firewood. Wild animals are source of food,2500,2500,5000,5000,1,1,1,1
True,R_2hhCf0qkbX6Iish,Female head of HH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,No,No,No,,0,0,0,0,40,0,0,0,,0,0,20,0,0,0,20,0,0,,0,Yes,Spread of diseases,,Every day,,I would be willing to contribute my time,Clean place,Nkhono,Male,Please state the age in completed years of life,20,Primary education,Non-governmental organization,,Christianity,,Please enter amount as a number,2,Please enter amount as a number,2,Male head of HH,,,Owner,,Please enter amount as a number,2,Please enter amount as a number,5,"25,001 to 50,000",,,3000,3000,6000,1500,1,0,0,0
True,R_2qrfW9dVqhZxmrg,Female head of HH,,Somewhat satisfied,,,,,,,,,,,,,,,,,,,No,No,,No,No,,,,,,,,,,,,,,9,0,0,6,0,10,15,0,,0,5,15,6,0,9,0,5,0,,0,Yes,Spread of diseases,,Bi-weekly / twice a week,,I would be willing to contribute my time,Clean community,Madothi,Female,Please state the age in completed years of life,33,Primary education,Unemployed,,Christianity,,All my life,,Please enter amount as a number,20,Female head of HH,,,Owner,,Please enter amount as a number,2,Please enter amount as a number,8,"25,001 to 50,000",,None,2000,2000,1000,1000,0,0,0,0
True,R_2qkruHgVllzVeaA,Daughter of head of HH,,Extremely satisfied,,,,,,,,,,,,,Yes,,No,No,No,,,,,,,,,,,,,,,,,,,,10,0,0,9,14,0,7,0,,0,14,2,2,2,13,2,5,0,,0,Yes,"Spread of diseases,Health issues",,Every day,,I do not want do engage in solid waste management,Disease prevention. Healthy bodies free from polluted air,Madothi,Female,Please state the age in completed years of life,18,Secondary education ,Unemployed,,Christianity,,All my life,,All my life,,Daughter of head of HH,,,Owner,,Please enter amount as a number,5,Please enter amount as a number,5,Prefer not to say,21,,1500,1500,3000,750,1,0,0,0
True,R_1hRUupRdGxhiPnT,Female head of HH,,Somewhat satisfied,,,,,,,,,,,,,,,,,,,Yes,,No,No,No,,,,,,,,,,,,,,10,10,0,0,0,10,10,0,,0,20,10,0,0,10,0,0,0,,0,Yes,"Water pollution,Air pollution,Health issues",,Every day,,Prefer not to say,Disease prevention. Clean homes,Madothi,Female,Please state the age in completed years of life,20,Primary education,Unemployed,,Christianity,,All my life,,All my life,,Daughter of head of HH,,,Owner,,Please enter amount as a number,3,Please enter amount as a number,5,Prefer not to say,,,2000,2000,4000,1000,1,0,0,0
True,R_OwKyhV1sFLhelxL,Female head of HH,,Extremely satisfied,,,,,,,,,,,,,No,Yes,,No,Yes,,,,,,,,,,,,,,,,,,,,2,3,5,4,12,4,10,0,,0,5,3,6,9,5,3,9,0,,0,Yes,"Water pollution,Health issues,Decrease of tourism",,Bi-weekly / twice a week,,I would be willing to contribute my time,Clean environment,Nkhono,Female,Please state the age in completed years of life,30,Primary education,Unemployed,,Christianity,,All my life,,Please enter amount as a number,8,Female head of HH,,,Owner,,Please enter amount as a number,3,Please enter amount as a number,5,"Less than 25,000",,Proper waste management can transform our community to a better and cleaner place,1500,1500,750,750,0,0,1,1
True,R_27dFrL3zbv6KLmy,Female head of HH,,Somewhat satisfied,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,No,No,,,,,,,,5,0,0,0,10,5,20,0,,0,12,7,0,5,10,0,6,0,,0,Yes,Spread of diseases,,Bi-weekly / twice a week,,I would be willing to pay a fee,Clean community,Madothi,Female,Please state the age in completed years of life,58,Primary education,Unemployed,,Christianity,,Please enter amount as a number,37,Please enter amount as a number,2,Male head of HH,,,Owner,,Please enter amount as a number,1,Please enter amount as a number,1,"Less than 25,000",,None,2500,2500,1250,1250,0,0,0,0
True,R_2YsHYadpv3PWph2,Female head of HH,,Extremely dissatisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,No,No,,8,7,4,3,7,5,6,0,,0,0,10,10,5,2,3,10,0,-,0,Yes,"Spread of diseases,Health issues",,Every day,,I would be willing to contribute my time,beutify Cape Maclear ,Nkhono,Female,Please state the age in completed years of life,34,Secondary education ,Self-employed,,Christianity,,Please enter amount as a number,1,Please enter amount as a number,1,Female head of HH,,,Rental ,,Please enter amount as a number,1,Please enter amount as a number,1,"Less than 25,000",,,3000,3000,1500,1500,0,0,0,0
True,R_3CBJCx7FeUjz0dX,Female head of HH,,Extremely satisfied,,,,,,,No,No,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,8,0,10,4,11,0,,0,8,0,0,20,0,0,12,0,,0,Yes,"Spread of diseases,Health issues,Natural Disasters",,Bi-weekly / twice a week,,I do not want do engage in solid waste management,Beautiful ,Nkhono,Female,Please state the age in completed years of life,40,Primary education,Self-employed,,Christianity,,Please enter amount as a number,7,Please enter amount as a number,3,Female head of HH,,,Rental ,,Please enter amount as a number,3,Please enter amount as a number,7,"100,001 to 125,000",,Thanks for the visit because you help us to know more concerning cleanliness ,1000,1000,500,500,0,0,0,0
True,R_1kNDLgc4kU5zNgh,Female head of HH,,Extremely satisfied,Yes,,Yes,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,6,3,9,4,12,0,,0,4,5,7,5,6,4,9,0,,0,Yes,"Spread of diseases,Health issues,Decrease of tourism",,Every day,,I would be willing to contribute my time,Healthy people in our area,Nkhono,Male,Please state the age in completed years of life,28,Secondary education ,Unemployed,,Christianity,,Please enter amount as a number,5,Please enter amount as a number,2,Male head of HH,,,Owner,,Please enter amount as a number,1,Please enter amount as a number,3,"25,001 to 50,000",,Proper waste management  can Make our area attractive,500,500,1000,1000,1,1,1,1
True,R_2QfjMH4DKezSlU7,Female head of HH,,Somewhat satisfied,,,,,,,,,,,,,,,,,,,,,,,,,Prefer not to say,,,Prefer not to say,,,,,,,,,5,0,0,10,0,0,15,10,Fertilizer availbility,0,10,0,15,0,5,0,10,0,,0,Yes,Spread of diseases,,Other (please specify): ,3 days a week,I would be willing to contribute my time,Clean places,Madothi,Male,Please state the age in completed years of life,53,Primary education,Unemployed,,Christianity,,All my life,,Please enter amount as a number,4,Male head of HH,,,Owner,,Please enter amount as a number,4,Please enter amount as a number,5,"25,001 to 50,000",,None,,,,,,,,
True,R_1Nq9hkUtU4aePL3,Female head of HH,,Extremely satisfied,Yes,,Yes,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,6,3,9,2,12,0,,0,6,3,7,4,7,3,10,0,,0,Yes,"Water pollution,Decrease of tourism,Loss of biodiversity ",,Bi-weekly / twice a week,,I would be willing to contribute my time,Disease prevention. Our place can will look attractive,Nkhono,Female,Please state the age in completed years of life,34,Primary education,Unemployed,,Christianity,,All my life,,Please enter amount as a number,6,Female head of HH,,,Owner,,Please enter amount as a number,4,Please enter amount as a number,4,"50,001 to 75,000",,Proper waste management is beneficial because will make our community look attractive ,500,500,1000,1000,1,1,1,1
True,R_3qmvMxr4cCZFYJC,Female head of HH,,Extremely satisfied,,,,,,,No,No,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,10,0,0,10,20,0,,0,10,0,0,16,0,0,14,0,,0,Yes,"Water pollution,Spread of diseases,Health issues",,Bi-weekly / twice a week,,I do not want do engage in solid waste management,Beautification. Good hygiene ,Nkhono,Female,Please state the age in completed years of life,32,Primary education,Self-employed,,Christianity,,Please enter amount as a number,2,Please enter amount as a number,1,Female head of HH,,,Rental ,,Please enter amount as a number,4,Please enter amount as a number,3,"75,001 to 100,000",,Thanks you have taught us some issues about good health ,1000,1000,500,500,0,0,0,0
True,R_3Olf0XKZbpVprJe,Female head of HH,,Extremely dissatisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,No,No,,5,5,5,5,5,5,10,0,-,0,0,0,0,0,0,0,0,0,-,40,No,,,Every day,,I would be willing to contribute my time,prevention of diseases ,Nkhono,Female,Please state the age in completed years of life,47,Primary education,Unemployed,,Christianity,,All my life,,All my life,,Female head of HH,,,Owner,,Please enter amount as a number,3,Please enter amount as a number,9,"100,001 to 125,000",,,3000,3000,1500,1500,0,0,0,0
True,R_1HqyIz4sCYwkNx5,Male head of HH,,Extremely satisfied,,,,,,,,,,,,,,,,,,,No,Yes,,No,Yes,,,,,,,,,,,,,,0,7,5,3,13,4,8,0,,0,7,4,8,6,6,4,5,0,,0,Yes,"Water pollution,Air pollution,Climate change ",,Bi-weekly / twice a week,,I would be willing to contribute my time,Bumper  harvests in our farms. Disease prevention,Nkhono,Male,Please state the age in completed years of life,25,Secondary education ,Private sector,,Christianity,,All my life,,Please enter amount as a number,1,Male head of HH,,,Other (please specify):,For my uncle ,Please enter amount as a number,1,Please enter amount as a number,3,"25,001 to 50,000",,"Improper waste management  has made our area less attractive so it really good to manage the waste properly to reduce this problem.""Thanks""",2000,2000,1000,1000,0,0,1,1
