finished,responseid,a1,a2_1,a3,a4,a5,a6,a7,a8,a8_2_text,b1_1,b2,b3,b3_1_text,b3_2_text,b3_3_text,b3_4_text,b4,b5,b6,d1,d2,d2_4_text,d3,d3_5_text,d4,d4_4_text,d5,d5_4_text,d6,d6_4_text,d7,d7_4_text
True,R_2BbKg7mPpRxMxjr,No ,Somewhat satisfied,Yes,No,No,No,No,No,,Very important,Yes,Fixed fee per stay,,5,,,Yes,Yes,Using waste as a raw material for composting. ,Male,Please write the country's name:,MALAWIAN ,Please state the age in completed years of life:,31,Please enter the name of your accommodation:,Mgoza Lodge,Please enter amount as a number:,60,I live in Malawi,,Prefer not to say / don't know,
True,R_3dKuawcJJ77uGDA,Yes,Extremely dissatisfied,No,No,No,No,No,Yes (please specify):,"Lots of bio-wastes, metallic cans and plastics which might have an effect on odour",Extremely important,Yes,Donation,,,2.3499999,,Yes,Yes,"Introducing waste-collection bins. Separation of wastes and devising innovative ways of reducing, reusing or recycling them.",Male,Please write the country's name:,Malawian,Please state the age in completed years of life:,34,Please enter the name of your accommodation:,Quarters (Chembe),Please enter amount as a number:,360,I live in Malawi,,Please enter the amount in US-$:,1294
True,R_2QgQeoGzxdUA8DW,Yes,Extremely dissatisfied,No,No,No,No,No,Yes (please specify):,"litter everywhere, no trashcans",Slightly important,Yes,Fixed fee per day,1,,,,No ,Yes,Waste collection for everyone so there isnt trash on the ground everywhere,Male,Please write the country's name:,netherlands,Please state the age in completed years of life:,28,Please enter the name of your accommodation:,eagles nest,Please enter amount as a number:,6,Please enter amount as a number:,21,Please enter the amount in US-$:,200
True,R_DNNwCjvGhmZq1ZT,Yes,Somewhat dissatisfied,No,No,No,No,No,Yes (please specify):,"Papers, plastic bottles",Extremely important,Yes,Other (please specify):,,,,K5000,Yes,Yes,"Placing waste bins along the beach, employ people for waste collection and management, have places/plants for plastic Recycling and waste inceneration",Female,Please write the country's name:,Malawian,Please state the age in completed years of life:,36,Please enter the name of your accommodation:,Mgoza,Please enter amount as a number:,3,I live in Malawi,,Prefer not to say / don't know,
True,R_27110Z3vZilt8zB,Yes,Neither satisfied nor dissatisfied,No,No,No,Yes,Yes,Yes (please specify):,Littered areas,Slightly important,Yes,Fixed fee per stay,,5,,,Yes,Yes,Public bins and frequent waste collection ,Female,Please write the country's name:,France ,Please state the age in completed years of life:,21,Prefer not to say / don't know,,Please enter amount as a number:,7,Please enter amount as a number:,30,Prefer not to say / don't know,
True,R_2SwTQtcnl1Pd8Cc,Yes,Extremely dissatisfied,Prefer not to say / don't know,Prefer not to say / don't know,Prefer not to say / don't know,Prefer not to say / don't know,Prefer not to say / don't know,Yes (please specify):,Plastic bags/garbage floating in the water at the lake shore. A lot of broken glass in the beach sand. Garbage on the roads throughout the village.,Very important,Prefer not to say / don't know,,,,,,Prefer not to say / don't know,Yes,"Garbage clean up in the lake and on the beach. I am sad to see (and hear from other tourists) that Chembe/Cape Maclear is no longer a nice place to visit and swim in the lake. I have met several Malawians who no longer visit and advise against swimming at Cape Maclear. In the long run, this will only do harm to the tourism industry and reduce income for the locals.",Female,Please write the country's name:,United States ,Please state the age in completed years of life:,55,Please enter the name of your accommodation:,Warm Heart Lodge,Please enter amount as a number:,5,Please enter amount as a number:,45,Please enter the amount in US-$:,200
True,R_T7xqiLcUkPyTcWZ,No ,Somewhat satisfied,Prefer not to say / don't know,Prefer not to say / don't know,Yes,Prefer not to say / don't know,Prefer not to say / don't know,Yes (please specify):,"Plastics, biological waste and glass",Extremely important,Yes,Donation,,,2,,Yes,Yes,"Recycling, ban on plastics",Male,Please write the country's name:,Malawi,Prefer not to say / don't know,,Please enter the name of your accommodation:,Mgoza Lodge,Please enter amount as a number:,7,I live in Malawi,,Please enter the amount in US-$:,500
True,R_1HeCYBUvQLFVjPt,Yes,Somewhat dissatisfied,No,No,No,Prefer not to say / don't know,Prefer not to say / don't know,Yes (please specify):,"There is a lot of waste in the streets, beach, rivers, ",Very important,No,,,,,,Prefer not to say / don't know,Yes,Of there is leds waste ,Female,Please write the country's name:,Belgie,Please state the age in completed years of life:,56,Please enter the name of your accommodation:,Mgoza,Please enter amount as a number:,2,Please enter amount as a number:,16,Please enter the amount in US-$:,100
True,R_2uI1HIY3SRYLqDR,Yes,Extremely dissatisfied,Prefer not to say / don't know,No,No,Yes,Yes,Yes (please specify):,All the waste on the street coming up tobthe cape,Moderately important,Yes,Fixed fee per day,1,,,,Yes,Yes,Cape maclear and all other places: Change behaviour People. Like not throwing everything everywhere. Governement has to do waste collection and treatment and Bring education ,Female,Please write the country's name:,België ,Please state the age in completed years of life:,63,Please enter the name of your accommodation:,mgoza,Please enter amount as a number:,1,Please enter amount as a number:,27,Please enter the amount in US-$:,120
True,R_1gjxotsvkrEJYUg,No ,Extremely dissatisfied,Yes,No,No,No,Yes,Yes (please specify):,Lake and beach have platic and glass and hazardous materials,Very important,Yes,Donation,,,5000,,Yes,Yes,Garbage pick up. Recycling of plastic and glass. Lake clean up,Male,Please write the country's name:,Belgium,Please state the age in completed years of life:,55,Please enter the name of your accommodation:,Warm Heart,Please enter amount as a number:,5,Please enter amount as a number:,47,Please enter the amount in US-$:,130
True,R_2VD7RCSES16WvFQ,No ,Neither satisfied nor dissatisfied,Prefer not to say / don't know,No,No,No,Yes,Yes (please specify):,Trash on beach,Slightly important,No,,,,,,No ,Yes,.,Male,Please write the country's name:,Spain,Please state the age in completed years of life:,27,Please enter the name of your accommodation:,Lodge,Please enter amount as a number:,1,Please enter amount as a number:,60,Please enter the amount in US-$:,50
True,R_21mFMtgRhB1hoCg,No ,Neither satisfied nor dissatisfied,No,No,No,Prefer not to say / don't know,Yes,No,,Not at all important,No,,,,,,Prefer not to say / don't know,Yes,Leas waste (like platics for example) in the natural áreas like the beach,Female,Please write the country's name:,Spain,Please state the age in completed years of life:,26,Please enter the name of your accommodation:,Mgoza Lodge,Please enter amount as a number:,2,Please enter amount as a number:,60,Please enter the amount in US-$:,60
True,R_2YXpHal3zKoSbkO,Yes,Somewhat dissatisfied,No,No,No,No,Yes,Yes (please specify):,"Plastic in the lake, paths... ",Extremely important,Yes,Fixed fee per stay,,2000,,,Yes,Yes,"Recycling bins, Reusable glass water bottles",Female,Please write the country's name:,Spain,Please state the age in completed years of life:,25,Prefer not to say / don't know,,Please enter amount as a number:,1,Please enter amount as a number:,63,Prefer not to say / don't know,
True,R_xDBttqr15inAj5L,Yes,Somewhat dissatisfied,Prefer not to say / don't know,No,No,Prefer not to say / don't know,Prefer not to say / don't know,Yes (please specify):,"litter, limited places to dispose of waste ",Moderately important,Prefer not to say / don't know,,,,,,Prefer not to say / don't know,Yes,"having a bin when walking around, recycling points",Female,Please write the country's name:,England ,Please state the age in completed years of life:,18,Please enter the name of your accommodation:,Mgoza lodge,Please enter amount as a number:,4,I live in Malawi,,Please enter the amount in US-$:,200
True,R_1pXoc2TXNSaozsV,Yes,Somewhat dissatisfied,Prefer not to say / don't know,Prefer not to say / don't know,Prefer not to say / don't know,Prefer not to say / don't know,No,Yes (please specify):,Littered areas ,Slightly important,Prefer not to say / don't know,,,,,,Yes,Yes,"Would be nice for there to be rubbish collections around the streets as there would then be less litter in the streets, also bins by the beech? As there’s a lot of litter in the lake. It would also be helpful to educate the locals on how to recycle and what to do with rubbish especially plastics. ",Female,Please write the country's name:,England ,Please state the age in completed years of life:,18,Please enter the name of your accommodation:,Zomba ,Please enter amount as a number:,4,I live in Malawi,,Please enter the amount in US-$:,150
True,R_4EOxfUJUm2U53IR,Yes,Extremely dissatisfied,Yes,No,Yes,Prefer not to say / don't know,Prefer not to say / don't know,Yes (please specify):,Down the street + along the Lake's shoreline,Slightly important,Yes,Other (please specify):,,,,Circularity advise,Yes,Yes,"1) reduce , then reuse , then recycle educational  training programs to local community. 2) economically viable waste collection , sorting & processing. 3) tentatively entering respective easte into the closed circularity. i.e. giving the waste a continuous (2nd, 3rd, and so on and so forth) life",Male,Please write the country's name:,Belgium,Please state the age in completed years of life:,56,Please enter the name of your accommodation:,Mgoza lodge,Please enter amount as a number:,2,Please enter amount as a number:,12,Please enter the amount in US-$:,100
True,R_8TpckHB1kZgyi22,No ,Neither satisfied nor dissatisfied,Prefer not to say / don't know,No,No,No,No,Prefer not to say / don't know,,Moderately important,Yes,Donation,,,20,,Prefer not to say / don't know,Yes,- litter free beach and lake. - eco products in lodges ,Female,Please write the country's name:,Netherlands,Please state the age in completed years of life:,31,Please enter the name of your accommodation:,Fat Monkeys,Please enter amount as a number:,5,Please enter amount as a number:,5,Please enter the amount in US-$:,300
True,R_2q0i4MPaiXK1129,Yes,Extremely dissatisfied,No,No,Yes,No,No,Yes (please specify):,"Litter along the coast line, massive amounts of litter in the water and on land just generally all over.",Moderately important,No,,,,,,Yes,Yes,Seeing something visible being done about it - litter being picked up and areas being kept clean.  More recycling options for the community.,Male,Please write the country's name:,South African,Please state the age in completed years of life:,36,Please enter the name of your accommodation:,Chembe Eagles Nest,Please enter amount as a number:,10,Please enter amount as a number:,10,Please enter the amount in US-$:,300
True,R_5n78p2sNzGXZKcS,No ,Somewhat dissatisfied,No,Yes,Yes,No,No,No,,Extremely important,Yes,Fixed fee per day,10,,,,Yes,Yes,Collection and burning of all wastes,Female,Please write the country's name:,Malawi,Please state the age in completed years of life:,32,Please enter the name of your accommodation:,Fat Monkeys Lodge,Please enter amount as a number:,7,Please enter amount as a number:,20,Please enter the amount in US-$:,200
True,R_15ToFPKopuYOId0,Yes,Extremely dissatisfied,Yes,No,No,No,No,Yes (please specify):,Lots of litter in the LAKE ,Extremely important,Yes,Other (please specify):,,,,Resorts and cottages to pay a monthly fee from own pocket ,Yes,Prefer not to say / don't know,A waste disposal site. Recycling. Education ,Male,Please write the country's name:,Malawian ,Please state the age in completed years of life:,36,Please enter the name of your accommodation:,Cottage ,Prefer not to say / don't know,,I live in Malawi,,Prefer not to say / don't know,
True,R_6dojFGq2FBy2Ijo,Yes,Somewhat dissatisfied,Prefer not to say / don't know,No,Yes,Prefer not to say / don't know,Yes,Yes (please specify):,Plastic bags everywhere ,Moderately important,Prefer not to say / don't know,,,,,,Yes,Yes,"Visible waste and recycling facilities in all lodges and tourists attractions, boat trips. Encouragement for local population to keep their own surroundings clear of debris.",Male,Please write the country's name:,UK,Please state the age in completed years of life:,66,Prefer not to say / don't know,,Prefer not to say / don't know,,Prefer not to say / don't know,,Prefer not to say / don't know,
True,R_7MLQDO0g25aCNYQ,Yes,Extremely dissatisfied,Yes,Prefer not to say / don't know,Yes,No,Prefer not to say / don't know,Yes (please specify):,"Everywhere - beaches, in the lake, by the market, on the road. Everywhere. ",Very important,Yes,Fixed fee per stay,,10,,,Yes,Yes,Unsure what is meant. ,Male,Please write the country's name:,United Kingdom,Please state the age in completed years of life:,27,Please enter the name of your accommodation:,The lake house ,Please enter amount as a number:,90,Please enter amount as a number:,98,Prefer not to say / don't know,
